,Ctrl_1,Ctrl_2,Ctrl_3,Treat_1,Treat_2,Treat_3
Gene_1,3.1002895717158343,16.409761271761994,9.26628735652482,8.49536779753393,19.839447610647564,31.155646739633646
Gene_2,2.2143617851541473,4.651174639878799,27.69215692718554,24.470092838481584,55.911983880270746,13.555508545197137
Gene_3,1.060411038665372,5.24287439665573,20.343246855555954,33.9699079096485,4.8194055037949,24.444408848078265
Gene_4,3.6936224792340724,4.292593426905174,6.849891583006003,10.301522763355406,10.833714133807002,36.76230449668067
Gene_5,24.364123475242256,4.432121674284906,5.180048567968583,26.44087481813209,10.649326280823056,93.85810595772764
Gene_6,5.220112636342741,43.15266022128621,42.496803918249746,33.35019965580413,8.555587386428515,1.7536943450267275
Gene_7,16.49806528048069,10.063843197879976,13.328370194239636,15.214509607602203,8.909836292019017,7.379966330102218
Gene_8,24.351309407561253,3.4949983559255213,18.928396140490246,8.194885767955784,13.770176361434544,34.880572436046045
Gene_9,2.7098559155943316,4.436202856482166,15.266855275105078,5.56081910973002,11.51552036358952,10.36670372345967
Gene_10,2.356212459593433,6.605780003255689,3.708383559073339,6.302719196078334,15.256972749568023,50.284107428064274
Gene_11,6.022512334505973,0.7875162414995746,1.7909989134248934,19.944290054008125,12.895664606545475,8.576057036057044
Gene_12,4.221110361688152,15.517523681293364,6.430751810730979,12.647124531999905,3.0831926723440244,11.60989330436787
Gene_13,7.405898169874034,12.814510592523666,3.656004650438083,10.43703136161168,17.847835631477622,26.018394280892704
Gene_14,9.271098369734847,3.8795019637864843,1.8549623599167202,22.115164239874765,10.96216957314965,8.053224617110398
Gene_15,5.404760638955383,11.6936351548862,9.687837577672742,7.374923590756033,6.51844127382007,7.44801928779566
Gene_16,7.319453044003563,50.09354776895158,10.281331019462142,11.039702084312534,4.589625180937786,17.367191373676917
Gene_17,16.167269621415556,44.27918361530286,2.6240836292337923,11.169582505834097,6.246937916439404,7.300159964598208
Gene_18,3.218673865895151,29.81375249265604,3.9022363497612456,23.83435649343603,25.111417624256248,82.34988199757592
Gene_19,7.566620876542405,17.382305709034153,15.067876792552772,19.176743591994445,7.095891097660533,6.842022498634548
Gene_20,30.081457306118125,24.447190702515194,17.383372323948926,16.631887146965973,23.20828489569587,37.569675749998666
Gene_21,3.982194417773671,13.955729408483883,9.501195146661843,6.053394900744822,13.20748456380392,4.810139027261322
Gene_22,2.557391086588359,22.961966969413204,14.094564514876682,16.50890210507676,5.41558921301149,39.02566421160406
Gene_23,7.662911971920397,6.132033052813274,2.8330647727271367,6.537713356861355,19.83220099002977,13.748136460178971
Gene_24,8.66783682793362,10.748339693793504,3.800284804989885,12.670388877598388,2.8765203616921884,11.326189170176647
Gene_25,18.723197054238803,3.071719685196371,1.3519117745295357,5.56423382195712,7.629329298022299,18.010893749826497
Gene_26,16.975679001177756,5.351126874726228,6.680389750632639,107.11928068215872,55.6212193449512,18.417641072782462
Gene_27,3.780992804125469,2.044656472806295,20.169869859813186,16.581941003139445,9.20119043950678,5.4694163329308605
Gene_28,4.2584481629724715,27.90377517256765,14.095372456874294,17.363664835956133,8.537271211657517,49.64832426794745
Gene_29,5.744216270726713,3.099615523427227,4.112497098764465,67.83699136578487,67.51411058485051,7.327268123338808
Gene_30,2.8010140018023426,39.23976663936956,8.427945119081565,8.118830323122841,4.624022006681721,20.465048097024713
Gene_31,18.54433652917925,2.68080831947588,8.540573018014001,6.148028537056872,7.515603351208297,5.989118901227507
Gene_32,18.959204724690288,5.6518978445913435,16.85911680467721,7.803194868370703,45.74034419524269,1.693278085160027
Gene_33,3.102926413007696,2.48239237942375,10.009358342883658,18.554535433381435,6.390938215185431,79.46925189269214
Gene_34,5.455688644789475,12.34984795197795,1.518449357776123,23.626959730582065,5.392446631017945,7.473777349474432
Gene_35,13.063364487238697,59.06527225572256,7.244910445703808,7.721860271993333,30.585510885536554,47.25573026126755
Gene_36,7.593660110177453,8.53042844030812,1.6659898168092393,13.775532453402615,10.863658535838207,28.078271148132444
Gene_37,10.390763762071604,2.045561256278218,5.248048648446399,12.45209656348477,17.71416732335622,14.542032329373795
Gene_38,19.971287951868668,4.103443236809684,11.034196150995278,6.484358851852013,36.256201505845844,7.58757787613479
Gene_39,16.613095055883363,9.234926778058664,2.4675881692952792,57.411199581209786,31.31656116897148,14.224426753280648
Gene_40,5.663373728352833,35.42894260860698,1.4622310555934035,4.504025067452843,46.55626949035915,15.678690755458575
Gene_41,5.92612883119257,4.750802460399887,8.138434913650642,24.899685086483,39.70782643995113,4.972873429051169
Gene_42,13.444532176308558,26.761191894400568,5.952516589722719,16.295750286451973,9.011117340516796,15.730334821851804
Gene_43,14.152242102089286,11.020885075625111,10.799262430193236,17.561366775243666,3.219225771200662,10.150636561398413
Gene_44,4.706106189611055,3.327238980148784,3.0647484979984982,13.08830760604891,4.473360628171984,6.764727403499309
Gene_45,4.034370309750632,9.557720533298538,13.582191885285328,13.459805750334088,21.094115166311425,10.833431314009061
Gene_46,9.571357819210196,4.762800916593919,31.336266093357434,6.965515075028709,5.455711323218115,9.15392727339732
Gene_47,24.905595544943957,5.566686033385644,3.82383893659734,6.4287603170120535,19.614176974801524,14.91547584848816
Gene_48,8.200310040121703,20.365431232282013,9.642804425309572,7.241260528430093,14.620432972222819,78.59992979867987
Gene_49,11.533305313508484,6.235980986365019,10.644216746472067,22.240021277780325,14.935238770992067,21.6217717312285
Gene_50,25.42252421447896,6.099854843922352,8.286653313475162,33.49506631319631,3.6071553225563195,8.663375409412305
Gene_51,9.052610609389687,9.271825489430277,2.388078097504066,7.43593073516299,7.2677967506363395,66.11678051087796
Gene_52,1.6462583979139496,3.2683195157719522,8.451583635724564,18.324269853392003,29.744367861407845,15.473761992851736
Gene_53,11.508488952086493,4.832965972504426,22.238076699278647,110.19939713496095,2.43992914997455,8.268822837945493
